Year,Month,CO2,Temp,
2000,2,369.5,0.363,
2000,3,370.56,0.334,
2000,4,371.82,0.446,
2000,5,371.51,0.271,
2000,6,371.71,0.252,
2000,7,369.85,0.261,
2000,8,368.2,0.338,
2000,9,366.91,0.309,
2000,10,366.99,0.213,
2000,11,368.33,0.159,
2000,12,369.67,0.179,
2001,1,370.52,0.329,
2001,2,371.49,0.289,
2001,3,372.53,0.475,
2001,4,373.37,0.426,
2001,5,373.82,0.399,
2001,6,373.18,0.416,
2001,7,371.57,0.452,
2001,8,369.63,0.498,
2001,9,368.16,0.405,
2001,10,368.42,0.378,
2001,11,369.69,0.491,
2001,12,371.18,0.323,
2002,1,372.45,0.568,
2002,2,373.14,0.593,
2002,3,373.93,0.586,
2002,4,375,0.443,
2002,5,375.65,0.432,
2002,6,375.5,0.455,
2002,7,374,0.462,
2002,8,371.83,0.417,
2002,9,370.66,0.413,
2002,10,370.51,0.362,
2002,11,372.2,0.397,
2002,12,373.71,0.326,
2003,1,374.87,0.514,
2003,2,375.62,0.427,
2003,3,376.48,0.418,
2003,4,377.74,0.408,
2003,5,378.5,0.439,
2003,6,378.18,0.437,
2003,7,376.72,0.457,
2003,8,374.32,0.514,
2003,9,373.2,0.499,
2003,10,373.1,0.55,
2003,11,374.64,0.419,
2003,12,375.93,0.519,
2004,1,377,0.496,
2004,2,377.87,0.56,
2004,3,378.73,0.501,
2004,4,380.41,0.484,
2004,5,380.63,0.323,
2004,6,379.56,0.35,
2004,7,377.61,0.38,
2004,8,376.15,0.418,
2004,9,374.11,0.442,
2004,10,374.44,0.468,
2004,11,375.93,0.521,
2004,12,377.45,0.381,
2005,1,378.47,0.452,
2005,2,379.76,0.364,
2005,3,381.14,0.493,
2005,4,382.2,0.53,
2005,5,382.47,0.476,
2005,6,382.2,0.506,
2005,7,380.78,0.532,
2005,8,378.73,0.502,
2005,9,376.66,0.498,
2005,10,376.98,0.495,
2005,11,378.29,0.478,
2005,12,379.92,0.366,
2006,1,381.35,0.32,
2006,2,382.16,0.435,
2006,3,382.66,0.38,
2006,4,384.73,0.378,
2006,5,384.98,0.352,
2006,6,384.09,0.442,
2006,7,382.38,0.456,
2006,8,380.45,0.482,
2006,9,378.92,0.425,
2006,10,379.16,0.472,
2006,11,380.18,0.44,
2006,12,381.79,0.518,
2007,1,382.93,0.601,
2007,2,383.81,0.498,
2007,3,384.56,0.435,
2007,4,386.4,0.466,
2007,5,386.58,0.372,
2007,6,386.05,0.382,
2007,7,384.49,0.394,
2007,8,382,0.358,
2007,9,380.9,0.402,
2007,10,381.14,0.362,
2007,11,382.42,0.266,
2007,12,383.89,0.226,
2008,1,385.44,0.074,
2008,2,385.73,0.198,
2008,3,385.97,0.447,
2008,4,387.16,0.278,
2008,5,388.5,0.283,
2008,6,387.88,0.315,
2008,7,386.42,0.406,
2008,8,384.15,0.407,
2008,9,383.09,0.378,
2008,10,382.99,0.44,
2008,11,384.13,0.394,
2008,12,385.56,0.33,
